catalog_id	name	current_disposition	closure_class	source_grade	target_disposition	recommended_package	authoritative_or_best_evidence	required_closure
ENC-0010	ALCOR	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/ALCOR	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0023	Apple I character set	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Apple_I_character_set	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0027	ARIB STD B24 character set	codec_gap	gap_concrete_primary_missing	B concrete codec; authoritative full mapping/profile missing	retain_unimplemented_blocker	iconvex_telecom	https://www.wikidata.org/wiki/Q39087152 | https://en.wikipedia.org/wiki/ARIB_STD_B24_character_set	ARIB STD-B24 is versioned/profiled and the latest complete official standard is not freely available; sample PDFs are insufficient. Do not implement from a tertiary chart. First pin a complete authoritative mapping, byte/state serialization, version, undefined-byte behavior and licensing.
ENC-0035	Bangladesh Standard Code for Information Interchange	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/Bangladesh_Standard_Code_for_Information_Interchange	Do not conflate BDS 1520 Unicode repertoire with BDS 1934/1935 BSCII transport. Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0043	BCD (character encoding)	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/BCD_%28character_encoding%29	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-0067	Bitstream International Character Set	codec_gap	gap_blocked_non_octet_and_incomplete_unicode_binding	B1 secondary two-byte chart with unresolved non-Unicode glyphs	retain_unimplemented_blocker	iconvex_specs	https://en.wikipedia.org/w/index.php?oldid=1281909572 (wikitext SHA-256 d4d327400fecdaa4ce3cb2f74369c893c6921774b9255aa835aebe5e28ddb636; 00/01-prefixed two-byte chart with unmapped and non-Unicode glyphs) | https://tho-otto.de/hypview/hypview.cgi?charset=UTF-8&index=867&url=%2Fhyp%2Fcompend.hyp | repo:iconvex_specs/priv/sources/secondary-source-qualified-single-byte/BLOCKERS.md	Do not implement BICS as a single-byte codec or invent replacement/private-use mappings. Pin a primary BICS framing specification and an explicit content-qualified Unicode policy for every non-Unicode glyph before registering a versioned two-byte profile.
ENC-0071	Box-drawing characters	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	repertoire_abstraction (box-drawing characters)	catalog-only	https://en.wikipedia.org/wiki/Box-drawing_characters	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0072	Braille	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	writing_system (Braille)	catalog-only	https://en.wikipedia.org/wiki/Braille	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0080	BSCII	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/BSCII	Do not conflate BDS 1520 Unicode repertoire with BDS 1934/1935 BSCII transport. Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0084	Caret notation	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	text_transform (caret notation)	catalog-only	https://en.wikipedia.org/wiki/Caret_notation	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
